Datetime,T_ext,T_int,heating_total,cooling_total,cons,prod,GHI
2018-01-01 00:00:00,-21.8566,18.4578,38.025667627972034,0.0,11.246719999997088,0.0,0.0
2018-01-01 00:15:00,-21.8434,18.4086,26.322082793272514,0.0,13.07532,0.0,0.0
2018-01-01 00:30:00,-21.9561,18.3142,13.017722046530675,0.0,16.326639999999998,0.0,0.0
2018-01-01 00:45:00,-22.0408,18.2528,10.618305753009954,0.0,15.916000000000004,0.0,0.0
2018-01-01 01:00:00,-22.1299,18.1697,10.781638799505068,0.0,17.242400000000004,0.0,0.0
2018-01-01 01:15:00,-22.1225,18.0864,11.025475463838847,0.0,14.639200000000002,0.0,0.0
2018-01-01 01:30:00,-22.2003,18.0797,23.559017038856172,0.0,12.271999999999993,0.0,0.0
2018-01-01 01:45:00,-22.2672,18.0251,7.184238780108896,0.0,15.693600000000005,0.0,0.0
2018-01-01 02:00:00,-22.3025,17.9713,10.83662291964985,0.0,16.064000000000007,0.0,0.0
2018-01-01 02:15:00,-22.369,17.9164,11.95427650114418,0.0,15.827199999999975,0.0,0.0
2018-01-01 02:30:00,-22.423,17.9218,11.545801043498779,0.0,14.963600000000017,0.0,0.0
2018-01-01 02:45:00,-22.3884,17.8956,12.750637307015012,0.0,15.42240000000001,0.0,0.0
2018-01-01 03:00:00,-22.4134,17.8811,13.672079727616945,0.0,15.861599999999981,0.0,0.0
2018-01-01 03:15:00,-22.5043,17.8643,14.267872683907935,0.0,15.637600000000019,0.0,0.0
2018-01-01 03:30:00,-22.556,17.8566,15.092018543670356,0.0,16.814399999999978,0.0,0.0
2018-01-01 03:45:00,-22.592,17.796,15.119634118245498,0.0,15.725600000000016,0.0,0.0
2018-01-01 04:00:00,-22.7105,17.7604,15.557670508390979,0.0,17.956799999999987,0.0,0.0
2018-01-01 04:15:00,-22.8463,17.7482,21.176868488972683,0.0,20.736800000000017,0.0,0.0
2018-01-01 04:30:00,-22.99,17.7346,33.98768733934995,0.0,21.196399999999983,0.0,0.0
2018-01-01 04:45:00,-23.0412,17.7219,36.83056146579249,0.0,21.274800000000027,0.0,0.0
2018-01-01 05:00:00,-23.0478,17.7477,37.68068432624102,0.0,21.4332,0.0,0.0
2018-01-01 05:15:00,-23.1292,17.772000000000006,37.90474576836365,0.0,21.247599999999977,0.0,0.0
2018-01-01 05:30:00,-23.1736,17.8155,38.48102440922246,0.0,19.931600000000003,0.0,0.0
2018-01-01 05:45:00,-23.3009,17.8191,38.58339686168361,0.0,23.84960000000001,0.0,0.0
2018-01-01 06:00:00,-23.489,17.8487,64.458201563762,0.0,25.72399999999999,0.0,0.0
2018-01-01 06:15:00,-23.6467,17.8689,65.60809114029682,0.0,21.831999999999994,0.0,0.0
2018-01-01 06:30:00,-23.7107,17.9103,36.59374692657449,0.0,22.379999999999995,0.0,0.0
2018-01-01 06:45:00,-23.8801,17.9114,37.97742440780548,0.0,21.39200000000005,0.0,0.0
2018-01-01 07:00:00,-23.9881,17.9206,38.08753368686008,0.0,21.351999999999975,0.0,0.0
2018-01-01 07:15:00,-23.9682,17.9133,72.47643520728273,0.0,26.096000000000004,0.0,0.06545666666666668
2018-01-01 07:30:00,-23.9794,17.9371,85.15894654428284,0.0,27.206211999999947,2.026212,4.0366333333333335
2018-01-01 07:45:00,-24.0173,17.934,89.3493646270767,0.0,31.909668000000046,8.377668,11.5862
2018-01-01 08:00:00,-24.0731,18.0189,95.50986686409841,0.0,31.530719999999913,14.762719999999998,44.13933333333333
2018-01-01 08:15:00,-24.0707,18.1302,93.45486788112824,0.0,31.513400000000146,20.4574,81.64666666666666
2018-01-01 08:30:00,-23.955,18.1237,95.64879004764134,0.0,31.629999999999924,25.41000000000001,117.54666666666668
2018-01-01 08:45:00,-23.7369,18.2079,93.46474191060871,0.0,31.614600000000085,29.8364,154.24666666666667
2018-01-01 09:00:00,-23.4238,18.3689,93.35612758632385,0.0,31.82703200000001,33.741200000000006,190.18
2018-01-01 09:15:00,-23.0495,18.5253,92.96090937343357,0.0,31.667728000000004,37.1036,224.7733333333333
2018-01-01 09:30:00,-22.7013,18.6399,92.39043249433314,0.0,32.93600000000001,40.44880000000001,257.3333333333333
2018-01-01 09:45:00,-22.2897,18.7648,91.15485061440901,0.0,28.96083999999999,43.40119999999999,287.38666666666666
2018-01-01 10:00:00,-22.0265,18.9212,106.11388026658652,0.0,31.1538,45.6968,315.0266666666667
2018-01-01 10:15:00,-21.7604,18.9888,110.4903806926976,0.0,21.658,47.56,340.06666666666666
2018-01-01 10:30:00,-21.3489,19.1289,71.24173107014313,0.0,24.47920000000002,50.404800000000016,361.34
2018-01-01 10:45:00,-21.1591,19.2076,76.82074910029405,0.0,26.281199999999963,51.565199999999955,379.82666666666665
2018-01-01 11:00:00,-21.0784,19.3163,79.79876876133031,0.0,26.304800000000053,52.752000000000066,394.51666666666665
2018-01-01 11:15:00,-20.7257,19.3952,94.90687004540483,0.0,26.021599999999975,53.00799999999998,405.48333333333335
2018-01-01 11:30:00,-20.1981,19.5075,97.46929415777477,0.0,27.763999999999953,53.51199999999994,412.53
2018-01-01 11:45:00,-20.1614,19.6362,100.12925299871306,0.0,26.337600000000037,52.676000000000045,416.33333333333326
2018-01-01 12:00:00,-20.0274,19.7253,94.30246686152954,0.0,26.76239999999993,52.671999999999905,416.07
2018-01-01 12:15:00,-19.5483,19.7992,92.17777137154137,0.0,26.087600000000148,51.82400000000018,412.45
2018-01-01 12:30:00,-19.141,19.9191,95.32004484321301,0.0,26.58679999999993,50.85599999999989,405.12000000000006
